Price,Close
Ticker,GE
Date,
2016-05-20,126.0011978149414
2016-05-23,125.70283508300781
2016-05-24,127.23731994628906
2016-05-25,128.2602996826172
2016-05-26,127.96202087402344
2016-05-27,128.3882293701172
2016-05-31,128.8571014404297
2016-06-01,128.34556579589844
2016-06-02,128.08985900878906
2016-06-03,127.6209487915039
2016-06-06,128.3882293701172
2016-06-07,128.4735107421875
2016-06-08,129.1981201171875
2016-06-09,128.8997344970703
2016-06-10,128.0471954345703
2016-06-13,127.1521224975586
2016-06-14,129.7522735595703
2016-06-15,130.39163208007812
2016-06-16,131.5941619873047
2016-06-17,131.42242431640625
2016-06-20,132.41021728515625
2016-06-21,132.88272094726562
2016-06-22,132.19544982910156
2016-06-23,133.95635986328125
2016-06-24,128.0724334716797
2016-06-27,125.92498016357422
2016-06-28,128.58779907226562
2016-06-29,131.20762634277344
2016-06-30,135.20187377929688
2016-07-01,135.24484252929688
2016-07-05,135.07298278808594
2016-07-06,136.31851196289062
2016-07-07,136.66213989257812
2016-07-08,138.29417419433594
2016-07-11,138.33709716796875
2016-07-12,138.55189514160156
2016-07-13,138.9813690185547
2016-07-14,140.14093017578125
2016-07-15,141.21463012695312
2016-07-18,141.34352111816406
2016-07-19,141.429443359375
2016-07-20,140.78518676757812
2016-07-21,139.9691619873047
2016-07-22,137.69285583496094
2016-07-25,135.88905334472656
2016-07-26,135.15892028808594
2016-07-27,134.34292602539062
2016-07-28,134.2140350341797
2016-07-29,133.7416534423828
2016-08-01,133.78456115722656
2016-08-02,133.35507202148438
2016-08-03,133.6986541748047
2016-08-04,133.87049865722656
2016-08-05,134.34292602539062
2016-08-08,134.29998779296875
2016-08-09,134.4288330078125
2016-08-10,134.29998779296875
2016-08-11,134.3858184814453
2016-08-12,134.17108154296875
2016-08-15,134.17108154296875
2016-08-16,133.95635986328125
2016-08-17,134.3858184814453
2016-08-18,134.98712158203125
2016-08-19,134.2140350341797
2016-08-22,134.51466369628906
2016-08-23,134.12811279296875
2016-08-24,134.08518981933594
2016-08-25,134.04226684570312
2016-08-26,134.12811279296875
2016-08-29,134.68646240234375
2016-08-30,134.72943115234375
2016-08-31,134.17108154296875
2016-09-01,133.99929809570312
2016-09-02,134.3858184814453
2016-09-06,133.35507202148438
2016-09-07,133.39797973632812
2016-09-08,133.3120880126953
2016-09-09,129.31787109375
2016-09-12,130.94992065429688
2016-09-13,128.2012481689453
2016-09-14,127.55704498291016
2016-09-15,128.76895141601562
2016-09-16,128.46595764160156
2016-09-19,127.38391876220703
2016-09-20,128.4227294921875
2016-09-21,129.20184326171875
2016-09-22,130.024169921875
2016-09-23,129.37501525878906
2016-09-26,127.86004638671875
2016-09-27,129.33164978027344
2016-09-28,129.41822814941406
2016-09-29,127.81674194335938
2016-09-30,128.20631408691406
2016-10-03,128.29287719726562
2016-10-04,127.6869125366211
2016-10-05,127.6869125366211
2016-10-06,126.69139099121094
2016-10-07,125.86894226074219
2016-10-10,124.91673278808594
2016-10-11,125.17645263671875
2016-10-12,125.08985900878906
2016-10-13,124.5271987915039
2016-10-14,125.04660034179688
2016-10-17,124.87340545654297
2016-10-18,125.43611145019531
2016-10-19,125.78243255615234
2016-10-20,125.82569122314453
2016-10-21,125.43611145019531
2016-10-24,125.17645263671875
2016-10-25,124.00774383544922
2016-10-26,124.96001434326172
2016-10-27,123.92118835449219
2016-10-28,126.47492218017578
2016-10-31,125.95553588867188
2016-11-01,125.00330352783203
2016-11-02,123.31523895263672
2016-11-03,122.40625
2016-11-04,123.09880828857422
2016-11-07,126.86449432373047
2016-11-08,127.34062194824219
2016-11-09,128.2495880126953
2016-11-10,131.62574768066406
2016-11-11,132.92422485351562
2016-11-14,132.0585479736328
2016-11-15,133.097412109375
2016-11-16,133.0540771484375
2016-11-17,133.2704620361328
2016-11-18,132.75111389160156
2016-11-21,133.61676025390625
2016-11-22,134.95852661132812
2016-11-23,135.6510772705078
2016-11-25,136.08392333984375
2016-11-28,135.26153564453125
2016-11-29,134.39584350585938
2016-11-30,133.14065551757812
2016-12-01,135.8674774169922
2016-12-02,135.6510772705078
2016-12-05,134.6555633544922
2016-12-06,134.915283203125
