Price,Close
Ticker,META
Date,
2016-05-20,116.43626403808594
2016-05-23,115.06702423095703
2016-05-24,116.78353881835938
2016-05-25,116.97206115722656
2016-05-26,118.5397720336914
2016-05-27,118.45045471191406
2016-05-31,117.88489532470703
2016-06-01,117.85514068603516
2016-06-02,118.00395965576172
2016-06-03,117.54755401611328
2016-06-06,117.86506652832031
2016-06-07,116.84307861328125
2016-06-08,117.4681625366211
2016-06-09,117.63683319091797
2016-06-10,115.71195220947266
2016-06-13,113.06273651123047
2016-06-14,114.04503631591797
2016-06-15,113.70767974853516
2016-06-16,113.49932098388672
2016-06-17,112.13998413085938
2016-06-20,112.48725891113281
2016-06-21,113.48938751220703
2016-06-22,113.02306365966797
2016-06-23,114.18395233154297
2016-06-24,111.20730590820312
2016-06-27,108.12152862548828
2016-06-28,111.82247161865234
2016-06-29,113.2711181640625
2016-06-30,113.39017486572266
2016-07-01,113.30087280273438
2016-07-05,113.31078338623047
2016-07-06,115.79133605957031
2016-07-07,114.94793701171875
2016-07-08,116.3271255493164
2016-07-11,116.95223236083984
2016-07-12,117.01175689697266
2016-07-13,115.8707046508789
2016-07-14,116.37673950195312
2016-07-15,115.95008850097656
2016-07-18,118.4405517578125
2016-07-19,119.67089080810547
2016-07-20,120.97068786621094
2016-07-21,119.67089080810547
2016-07-22,120.05784606933594
2016-07-25,120.68293762207031
2016-07-26,120.27613067626953
2016-07-27,122.37963104248047
2016-07-28,124.02670288085938
2016-07-29,122.9749526977539
2016-08-01,123.34207916259766
2016-08-02,122.13156127929688
2016-08-03,121.55608367919922
2016-08-04,123.39169311523438
2016-08-05,124.175537109375
2016-08-08,124.2846908569336
2016-08-09,124.08622741699219
2016-08-10,123.90763092041016
2016-08-11,123.92747497558594
2016-08-12,123.90763092041016
2016-08-15,122.93526458740234
2016-08-16,122.33995056152344
2016-08-17,123.40160369873047
2016-08-18,122.9451904296875
2016-08-19,122.59790802001953
2016-08-22,123.1833267211914
2016-08-23,123.40160369873047
2016-08-24,122.5185317993164
2016-08-25,122.92534637451172
2016-08-26,123.98700714111328
2016-08-29,125.5547103881836
2016-08-30,124.86016845703125
2016-08-31,125.13798522949219
2016-09-01,125.18758392333984
2016-09-02,125.52494812011719
2016-09-06,128.7198944091797
2016-09-07,130.0295867919922
2016-09-08,129.25567626953125
2016-09-09,126.11036682128906
2016-09-12,127.68798065185547
2016-09-13,126.21949768066406
2016-09-14,126.7751235961914
2016-09-15,127.35062408447266
2016-09-16,128.06503295898438
2016-09-19,127.64827728271484
2016-09-20,127.63835144042969
2016-09-21,128.92823791503906
2016-09-22,129.067138671875
2016-09-23,126.96365356445312
2016-09-26,126.31871032714844
2016-09-27,127.68798065185547
2016-09-28,128.22377014160156
2016-09-29,127.09264373779297
2016-09-30,127.271240234375
