Price,Close
Ticker,SPY
Date,
2016-05-20,174.58216857910156
2016-05-23,174.34429931640625
2016-05-24,176.6041717529297
2016-05-25,177.80215454101562
2016-05-26,177.85308837890625
2016-05-27,178.61766052246094
2016-05-31,178.27784729003906
2016-06-01,178.64315795898438
2016-06-02,179.18695068359375
2016-06-03,178.6516571044922
2016-06-06,179.56072998046875
2016-06-07,179.84107971191406
2016-06-08,180.42730712890625
2016-06-09,180.1809844970703
2016-06-10,178.47328186035156
2016-06-13,177.09690856933594
2016-06-14,176.7485809326172
2016-06-15,176.50216674804688
2016-06-16,177.02891540527344
2016-06-17,176.36968994140625
2016-06-20,177.5054931640625
2016-06-21,178.00938415527344
2016-06-22,177.7190399169922
2016-06-23,180.03334045410156
2016-06-24,173.56851196289062
2016-06-27,170.4599609375
2016-06-28,173.5343780517578
2016-06-29,176.4892120361328
2016-06-30,178.89755249023438
2016-07-01,179.27328491210938
2016-07-05,177.98374938964844
2016-07-06,179.05126953125
2016-07-07,178.9402313232422
2016-07-08,181.604736328125
2016-07-11,182.24525451660156
2016-07-12,183.5689239501953
2016-07-13,183.54330444335938
2016-07-14,184.56813049316406
2016-07-15,184.32049560546875
2016-07-18,184.8158416748047
2016-07-19,184.62794494628906
2016-07-20,185.39654541015625
2016-07-21,184.69630432128906
2016-07-22,185.5246124267578
2016-07-25,185.0207061767578
2016-07-26,185.1061553955078
2016-07-27,184.9097137451172
2016-07-28,185.12326049804688
2016-07-29,185.4221649169922
2016-08-01,185.26840209960938
2016-08-02,184.0813751220703
2016-08-03,184.619384765625
2016-08-04,184.8158416748047
2016-08-05,186.32740783691406
2016-08-08,186.21630859375
2016-08-09,186.32740783691406
2016-08-10,185.86624145507812
2016-08-11,186.72872924804688
2016-08-12,186.5665740966797
2016-08-15,187.10455322265625
2016-08-16,186.1394805908203
2016-08-17,186.4896697998047
2016-08-18,186.9081268310547
2016-08-19,186.6348876953125
2016-08-22,186.6262664794922
2016-08-23,187.00209045410156
2016-08-24,186.04562377929688
2016-08-25,185.9174346923828
2016-08-26,185.5673370361328
2016-08-29,186.4811248779297
2016-08-30,186.17364501953125
2016-08-31,185.6442108154297
2016-09-01,185.6527557373047
2016-09-02,186.4896697998047
2016-09-06,187.0532684326172
2016-09-07,187.0362091064453
2016-09-08,186.60923767089844
2016-09-09,182.14276123046875
2016-09-12,184.7560577392578
2016-09-13,182.10006713867188
2016-09-14,182.0316925048828
2016-09-15,183.8507537841797
2016-09-16,183.14010620117188
2016-09-19,183.1743621826172
2016-09-20,183.18295288085938
2016-09-21,185.2429962158203
2016-09-22,186.41029357910156
2016-09-23,185.388916015625
2016-09-26,183.88681030273438
2016-09-27,185.0283966064453
2016-09-28,185.94680786132812
2016-09-29,184.26449584960938
2016-09-30,185.65493774414062
2016-10-03,185.2086639404297
2016-10-04,184.26449584960938
2016-10-05,185.07994079589844
2016-10-06,185.2086639404297
2016-10-07,184.57345581054688
2016-10-10,185.5348358154297
2016-10-11,183.1916046142578
2016-10-12,183.4319610595703
2016-10-13,182.83111572265625
2016-10-14,182.92550659179688
2016-10-17,182.29034423828125
2016-10-18,183.4319610595703
2016-10-19,183.921142578125
2016-10-20,183.57781982421875
2016-10-21,183.6636505126953
2016-10-24,184.44473266601562
2016-10-25,183.82672119140625
2016-10-26,183.45770263671875
2016-10-27,182.96841430664062
2016-10-28,182.42767333984375
2016-10-31,182.43626403808594
2016-11-01,181.11447143554688
2016-11-02,180.02438354492188
2016-11-03,179.200439453125
2016-11-04,179.00296020507812
2016-11-07,182.95120239257812
2016-11-08,183.77525329589844
2016-11-09,185.72364807128906
2016-11-10,186.1870880126953
2016-11-11,185.75796508789062
2016-11-14,185.90394592285156
2016-11-15,187.3544921875
2016-11-16,187.00254821777344
2016-11-17,187.9638671875
2016-11-18,187.5432586669922
2016-11-21,188.95945739746094
2016-11-22,189.32858276367188
2016-11-23,189.4315948486328
2016-11-25,190.1354217529297
2016-11-28,189.2427520751953
2016-11-29,189.61181640625
2016-11-30,189.15692138671875
2016-12-01,188.46168518066406
2016-12-02,188.55609130859375
2016-12-05,189.68911743164062
2016-12-06,190.28994750976562
2016-12-07,192.77906799316406
2016-12-08,193.2510986328125
2016-12-09,194.41839599609375
2016-12-12,194.19522094726562
2016-12-13,195.49136352539062
2016-12-14,193.87771606445312
2016-12-15,194.67588806152344
2016-12-16,194.2951202392578
2016-12-19,194.71824645996094
2016-12-20,195.46939086914062
2016-12-21,194.92547607421875
2016-12-22,194.5887451171875
2016-12-23,194.87362670898438
2016-12-27,195.35711669921875
2016-12-28,193.74258422851562
2016-12-29,193.69943237304688
2016-12-30,192.99148559570312
2017-01-03,194.4678497314453
2017-01-04,195.62477111816406
2017-01-05,195.46939086914062
2017-01-06,196.168701171875
2017-01-09,195.5211944580078
2017-01-10,195.5211944580078
2017-01-11,196.07374572753906
2017-01-12,195.58160400390625
2017-01-13,196.0305938720703
2017-01-17,195.3398895263672
2017-01-18,195.77159118652344
2017-01-19,195.04627990722656
2017-01-20,195.7629852294922
2017-01-23,195.2535400390625
2017-01-24,196.5054168701172
2017-01-25,198.206298828125
2017-01-26,197.99905395507812
2017-01-27,197.68824768066406
2017-01-30,196.46226501464844
2017-01-31,196.4449920654297
2017-02-01,196.522705078125
2017-02-02,196.6522216796875
2017-02-03,198.0077362060547
2017-02-06,197.6537322998047
2017-02-07,197.66238403320312
2017-02-08,197.92140197753906
2017-02-09,199.0955810546875
2017-02-10,199.88124084472656
2017-02-13,200.96910095214844
2017-02-14,201.77200317382812
2017-02-15,202.82540893554688
2017-02-16,202.65272521972656
2017-02-17,202.97216796875
2017-02-21,204.180908203125
